NUMBER	ENGLISH	SPANISH	CONCEPTICON_ID	CONCEPTICON_GLOSS
1	ANIMAL	animal	619	ANIMAL
2	AVOCADO	aguacate	3725	AVOCADO
3	BACK	espalda	1291	BACK
4	BANANA	plátano	399	PLANTAIN
5	TORTILLA BASKET	tenate		
6	BELLY OR STOMACH	estómago	819	STOMACH
7	BIG (PLURAL)	grande.PL	1202	BIG
8	BIG (SINGULAR)	grande.SG	1202	BIG
9	BIRD	pájaro	937	BIRD
10	BLACK	negro	163	BLACK
11	BONE	hueso	1394	BONE
12	BROTHER (OF MAN)	hermano de hombre	1262	BROTHER
13	CAT	gato	1208	CAT
14	CHAYOTE	chayote		
15	CHILD (DESCENDANT)	hijo/hija	1620	SON
16	CLOTH OR CLOTHES	tela, ropa	1616	CLOTH
17	COOKING POT	olla	3653	COOKING POT
18	CORN	maíz	506	MAIZE
19	CORN FIELD	milpa	449	CORN FIELD
20	CROSS-SEX SIBLING	hermana/hermano de otro genero	1263	SISTER
21	DAY (24 HOURS)	día	1225	DAY (NOT NIGHT)
22	ALL DAY	todo el día		
23	DEER	venado	1936	DEER
24	DEW	rocío	1977	DEW
25	DISEASE	enfermedad	1986	DISEASE
26	DOG	perro	2009	DOG
27	EGG	huevo	744	EGG
28	EIGHT	ocho	1705	EIGHT
29	FACE	cara	1560	FACE
30	FAR	lejos	1406	FAR
31	FAT (FROM ANIMALS)	manteca	323	FAT (ORGANIC SUBSTANCE)
32	FATHER	padre	1217	FATHER
33	FIFTEEN	quince	1709	FIFTEEN
34	FISH	pez	227	FISH
35	FIVE	cinco	493	FIVE
36	FLOWER	flor	239	FLOWER
37	FOOT	pie	1301	FOOT
38	FOUR	cuatro	1500	FOUR
39	GOOD	bueno	1035	GOOD
40	GRASS	zacate	606	GRASS
41	GRASSHOPPER	chapulín	607	GRASSHOPPER
42	MIDDLE	medio, algunos	1093	MIDDLE
43	HAND	mano	1277	HAND
44	HEAVY	pesado	1210	HEAVY
45	HEN	gallina	1514	HEN
46	HOLE	hoyo	1667	HOLE
47	HORN (ANATOMY)	cuerno	1393	HORN (ANATOMY)
48	HOT	caliente	1286	HOT
49	HOUSE	casa	1252	HOUSE
50	LONG (PLURAL)	largo.PL	1203	LONG
51	LONG (SINGULAR)	largo.SG	1203	LONG
52	LIME (MATERIAL)	cal	2540	LIME (MATERIAL)
